Country,Year,Death Rate,LDW,LSS,LHF,#LDW,#LSS,#LHF,VDEM
Afghanistan,2019,140.37,1.91,10.6,34.27,727415.0,4033366.0,13035749.0,0.516
Albania,2019,17.79,2.22,0.66,,63861.0,19113.0,,0.872
Algeria,2019,31.51,5.02,10.19,10.19,2161059.0,4387319.0,4387663.0,0.589
Angola,2019,392.89,9.28,20.86,15.05,2954039.0,6638095.0,4789410.0,0.606
Argentina,2019,76.1,,,,,,,0.878
Armenia,2019,21.02,0.0,0.43,0.4,0.0,12580.0,11872.0,0.908
Australia,2019,10.76,0.0,0.0,,0.0,0.0,,0.933
Austria,2019,7.66,0.0,0.0,,0.0,0.0,,0.917
Azerbaijan,2019,48.27,1.04,2.69,,104079.0,270076.0,,0.419
Bahrain,2019,28.19,0.0,0.0,,0.0,0.0,,0.238
Bangladesh,2019,102.42,1.14,23.32,38.05,1856787.0,38025710.0,62034182.0,0.424
Barbados,2019,48.47,0.27,1.91,,768.0,5475.0,,0.914
Belarus,2019,15.519999999999998,3.36,1.64,,317446.0,155004.0,,0.651
Belgium,2019,26.54,0.0,0.51,,0.0,59279.0,,0.957
Benin,2019,410.72,9.2,19.52,44.84,1085522.0,2303713.0,5292064.0,0.845
Bhutan,2019,100.86,2.47,9.71,8.99,18878.0,74061.0,68618.0,0.739
Bolivia,2019,124.52,0.14,17.65,13.16,15645.0,2031891.0,1514603.0,0.8
Bosnia and Herzegovina,2019,12.24,3.81,,,125912.0,,,0.823
Botswana,2019,466.84,4.83,5.62,,111195.0,129575.0,,0.887
Brazil,2019,60.24999999999999,0.36,0.14,,761166.0,291695.0,,0.691
Bulgaria,2019,20.35,0.0,13.97,,0.0,978266.0,,0.859
Burkina Faso,2019,493.27,30.17,30.93,30.93,6130143.0,6285555.0,6285370.0,0.773
Burundi,2019,474.17,19.48,12.5,93.86,2246721.0,1441011.0,10822268.0,0.137
Cambodia,2019,205.25,12.79,7.91,12.53,2108536.0,1303977.0,2065652.0,0.379
Cameroon,2019,476.01,12.54,15.31,59.86,3245295.0,3962831.0,15488403.0,0.542
Canada,2019,15.65,0.0,0.0,,0.0,0.0,,0.947
Cape Verde,2019,114.71,8.36,6.36,,45966.0,34959.0,,0.921
Central African Republic,2019,964.02,24.81,15.36,14.47,1177217.0,728871.0,686528.0,0.46
Chad,2019,565.22,14.49,5.24,29.61,2310208.0,834913.0,4721404.0,0.413
Chile,2019,28.72,0.0,0.0,,0.0,0.0,,0.916
China,2019,20.18,0.82,2.68,,12016359.0,39050928.0,,0.213
Colombia,2019,27.24,0.19,3.88,4.06,94227.0,1950973.0,2042371.0,0.685
Comoros,2019,266.68,10.86,13.19,,92410.0,112269.0,,0.615
Congo,2019,375.14,10.46,34.06,33.94,562926.0,1832470.0,1826352.0,0.244
Costa Rica,2019,21.46,0.2,0.81,9.54,10220.0,40912.0,481728.0,0.948
Cote d'Ivoire,2019,457.04,8.9,22.4,36.99,2289303.0,5760319.0,9513680.0,0.771
Croatia,2019,8.3,,2.47,,,101830.0,,0.868
Cuba,2019,41.16,1.53,1.98,7.66,173214.0,224816.0,868413.0,0.412
Cyprus,2019,14.27,0.0,0.0,,0.0,0.0,,0.917
Czechia,2019,18.57,0.0,0.86,,0.0,91551.0,,0.946
Democratic Republic of Congo,2019,391.13,13.29,20.22,38.42,11537986.0,17548278.0,33344590.0,0.536
Denmark,2019,23.03,0.0,0.4,,0.0,23247.0,,0.96
Djibouti,2019,323.36,14.75,7.04,,143623.0,68574.0,,0.428
Dominican Republic,2019,57.3,0.47,9.39,13.79,50970.0,1008301.0,1480936.0,0.851
Ecuador,2019,61.66,0.04,7.6,9.45,6273.0,1321185.0,1641197.0,0.895
Egypt,2019,49.84,0.24,1.84,9.5,238472.0,1847924.0,9539761.0,0.203
El Salvador,2019,56.66,0.21,16.2,,13665.0,1045568.0,,0.76
Estonia,2019,14.11,0.0,0.7,,0.0,9270.0,,0.955
Eswatini,2019,627.76,9.53,21.58,31.39,109406.0,247819.0,360392.0,0.355
Ethiopia,2019,302.19,25.75,8.47,53.66,28860130.0,9491901.0,60145574.0,0.587
Fiji,2019,73.96000000000001,0.0,0.84,,0.0,7456.0,,0.704
Finland,2019,6.870000000000001,0.0,0.55,,0.0,30537.0,,0.962
France,2019,14.92,0.0,1.35,,0.0,880286.0,,0.952
Gabon,2019,281.75,7.75,28.84,,168290.0,626600.0,,0.849
Gambia,2019,378.82,8.7,14.43,74.2,204257.0,338684.0,1742086.0,0.854
Georgia,2019,20.49,0.0,1.08,6.9,0.0,43130.0,275802.0,0.902
Germany,2019,14.37,0.0,0.77,,0.0,646936.0,,0.961
Ghana,2019,360.31,6.87,47.77,36.61,2089914.0,14530748.0,11134600.0,0.904
Greece,2019,20.59,0.0,1.01,,0.0,105754.0,,0.926
Guatemala,2019,124.19,1.03,10.54,20.65,181831.0,1852765.0,3630921.0,0.744
Guinea,2019,501.68,20.21,27.59,51.21,2581403.0,3524108.0,6540791.0,0.505
Guinea-Bissau,2019,498.58,13.32,13.14,11.82,255803.0,252458.0,227122.0,0.801
Guyana,2019,101.05,1.21,10.24,,9447.0,80187.0,,0.881
Haiti,2019,208.45,9.87,28.29,68.85,1111503.0,3186628.0,7754327.0,0.689
Honduras,2019,57.510000000000005,0.43,9.15,,41609.0,892025.0,,0.788
Hungary,2019,9.55,0.0,2.01,,0.0,195036.0,,0.832
Iceland,2019,16.73,0.0,1.22,,0.0,4133.0,,0.96
India,2019,179.27,4.93,11.99,29.58,67302919.0,163766887.0,404219190.0,0.596
Indonesia,2019,128.58,0.85,6.94,5.92,2304345.0,18775490.0,16030828.0,0.734
Iran,2019,23.790000000000003,1.95,9.78,,1616242.0,8108977.0,,0.305
Iraq,2019,25.18,0.93,0.0,2.99,366026.0,0.0,1173401.0,0.397
Ireland,2019,23.84,0.0,6.94,,0.0,339007.0,,0.954
Israel,2019,18.04,0.0,0.0,,0.0,0.0,,0.835
Italy,2019,9.12,0.0,0.1,,0.0,60932.0,,0.938
Jamaica,2019,33.46,5.39,12.32,,158784.0,363232.0,,0.901
Japan,2019,24.880000000000003,0.0,0.0,,0.0,0.0,,0.937
Jordan,2019,23.5,0.15,1.63,,14886.0,164728.0,,0.643
Kazakhstan,2019,33.35,1.94,2.04,0.75,360129.0,377819.0,139899.0,0.494
Kenya,2019,417.77,9.4,24.95,33.25,4939459.0,13119339.0,17481735.0,0.637
Kuwait,2019,38.21,0.0,0.0,,0.0,0.0,,0.549
Kyrgyzstan,2019,27.24,1.89,2.2,1.71,121063.0,140965.0,109808.0,0.699
Laos,2019,168.66,3.6,2.68,34.59,258313.0,192373.0,2479629.0,0.157
Latvia,2019,19.29,0.68,2.19,,12991.0,41724.0,,0.951
Lebanon,2019,33.28,7.4,0.8,,507322.0,54772.0,,0.698
Lesotho,2019,1022.41,10.51,20.06,43.2,223348.0,426394.0,918084.0,0.761
Liberia,2019,418.29,8.68,29.24,,428612.0,1443513.0,,0.84
Libya,2019,27.27,0.0,7.15,,0.0,484327.0,,0.334
Lithuania,2019,17.49,0.0,2.11,,0.0,58324.0,,0.941
Luxembourg,2019,15.4,0.0,2.38,,0.0,14639.0,,0.95
Madagascar,2019,357.73,2.71,19.47,43.57,731105.0,5250501.0,11751249.0,0.749
Malawi,2019,455.75,21.5,13.36,75.67,4005593.0,2489459.0,14095767.0,0.826
Malaysia,2019,128.41,0.36,,,113781.0,,,0.726
Maldives,2019,30.200000000000003,0.05,0.3,1.81,257.0,1570.0,9615.0,0.763
Mali,2019,402.54,3.92,17.46,53.02,771439.0,3431449.0,10423178.0,0.732
Malta,2019,20.57,0.0,0.0,,0.0,0.0,,0.861
Mauritania,2019,250.95,13.55,7.62,28.02,613286.0,345028.0,1268086.0,0.657
Mauritius,2019,31.17,0.0,,,0.0,,,0.898
Mexico,2019,34.15,0.0,6.78,7.23,0.0,8652235.0,9226493.0,0.73
Moldova,2019,28.64,1.51,11.14,,61173.0,450324.0,,0.847
Mongolia,2019,37.6,2.51,21.79,15.65,81110.0,702677.0,504626.0,0.901
Montenegro,2019,10.4,0.67,0.41,0.45,4216.0,2582.0,2796.0,0.822
Morocco,2019,52.25,5.42,1.99,,1976404.0,726024.0,,0.622
Mozambique,2019,716.43,10.14,4.91,,3077816.0,1491481.0,,0.611
Myanmar,2019,132.65,2.68,11.45,20.24,1445930.0,6189932.0,10941056.0,0.548
Namibia,2019,403.73,7.18,12.64,,179123.0,315255.0,,0.862
Nepal,2019,136.0,3.81,11.78,37.83,1091370.0,3370724.0,10822786.0,0.76
Netherlands,2019,19.44,0.0,2.31,,0.0,394094.0,,0.94
New Zealand,2019,12.04,0.0,0.0,,0.0,0.0,,0.965
Nicaragua,2019,42.84,1.52,7.24,,99181.0,473707.0,,0.269
Niger,2019,503.29,20.49,9.66,53.78,4776785.0,2251414.0,12537460.0,0.799
Nigeria,2019,455.31,5.37,19.88,36.51,10785721.0,39941934.0,73366545.0,0.694
